summary,label,final_score,Generated_Text
"Elon R. Musk: The Reuters report is based on nothing. We will not be startingproduction on Model Y at the end of next year. So2020 is more likely a prospect for Model Y, or early 2020. The production location for ModelY has notbeen decided. We're really crowded here at Fremont. I don't know where we'd put the Model Y production. We are jammed tothe gills here. So one thing I'm sure, it's not here. It is crazy packed, and we're -- yes. And so we'll try tofigure out what the optimal location is.",negative,0.577835292,Automotive
"Elon R. Musk: It doesn't require some dramatic breakthrough that -- so there'sa fundamental misunderstanding, I think, of what the current technology in our existing products canactually do. But we basically have what we need in-house and understand how to do those specs today or better, asElon said. Galileo Russell: Are you guys going to let Porsche beat you to market with a350-kilowatt hour Supercharger? Because I know you've mentioned a V3...Elon Musk: We'll keep going until you ask questions that are not boring.GalileoRussell: Yes, I can keep going. Elon, I know there is a V 3Supercharger, so I'm just trying to get some clarity.",neutral,0.638184398,Charging Infrastructure
"J.B. Straubel: We could designcells in the pack that could charge it faster than 300, 400 kilowatts. But it's not a very useful trade-off tothe customer. That's...Elon R. Musk: It's more important to have long rangethan it is to have a superfast charge time. And some ofit also comes down to an optimization around utility versus cost and trade-offs in the car itself. So something along the-- yes, I think -- J.B., like a couple hundred -- 200, 250, maybe... 17Jeffrey B. StraUBel: Yes, I mean, that -- that's definitely sort of power level that we've discussed and explored.",neutral,0.580218732,Charging Infrastructure
"Elon R. Musk: If our innovation is, let's say, twice that of anygiven competitor, then it is simply -- this is true of, generally, of companies in any industry. Whichevercompany has the highest rate of innovation, unless that company is actively killed by its competitors insome way that's nefarious or shoots itself in the foot, it will, at some point, exceed those competitors.Galileo Russell: Is it also you're going to offer that atcost and reduce that energy price? Or are you thinking of that as a revenue stream for the company?Jeffrey B. Straubel: We want tomake sure that there's a very seamless and easy system to operate trucks wherever they need to go. Andsome customers may elect to work with us on the whole system or parts of it.",neutral,0.635240912,Energy Generation and Storage
"The battery's able to respond at the millisecond level, far faster thanany hydrocarbon plant. So the customers that --the utilities that worked with us thus far have really loved the battery pack. And I feel confident that we'llbe able to announce a deal at the gigawatt-hour scale within a matter of months.Jeffrey B. Straubel: There's still -- there'smore than enough demand. And we are still building under our demand backlog and actually increasing itslightly. But Model 3 has taken alot of focus in the last few quarters, and that trend is going to be reversing in the second half of the year.Martin ViechaLet's go to the next question, please.",positive,0.820059061,Energy Generation and Storage
"Elon Musk: We haven't really tried to sell the Semi. Sales orders are -- for the Semi are like opportunistic, more like companies approachingus. Our focus is on the Model 3. We need to get that toabove 5,000 a week at a good margin. That is a good criticismthat has been leveled at Tesla, an accurate one. It's high time we became profitable. And then -- so we've gotan awesome product road map. The Tesla Semi is one of those things. And I think we'veGot a really goodidea for the -- the Model Y is going to be amazing. I'm really excited about that. Tesla pickup's going to begreat.",positive,0.68072775,Automotive
"Elon R. Musk: I'm not sure of the exact time, butI don't know, maybe next quarter but not later than fourth quarter for Model Y. And then we also expect toannounce the location of the Tesla Gigafactory in China soon. In the future, all Gigafactories will include vehicle production. Robin Ren is managing worldwide sales for Tesla right now. He was bornand raised in China. Won the physics Olympiad in his circle. Anyway -- but we'll talk more about -- I thinkthe next earnings call or next -- we'll have a lot more to say about that in the future. Robin, is there anything that you'dlike to say or anything?",neutral,0.707885981,Automotive
"Elon Musk: When there is a serious accident, it is almost always,in fact, maybe always the case that it is an experienced user. Musk: It's not a lack of understandingof what Autopilot can do. It's actually thinking they know more aboutAutopilot than they do, like quite asignificant understanding of it, but there's less, [ maybe less ]. James Joseph Albertine: Just to clarify, Elon, so you've got 2 accidents spaced out pretty far. But to clarify your comments, you are increasing use -- you're seeingincreasing usage and you've weathered those dips based on where we are today?",neutral,0.592978597,Autopilot
"Elon R. Musk: I completely understand your frustrations, and I'm frustrated too on how myopic we are right now. Wehave no interest in satisfying the desires of day traders, like we couldn't care less. Please sell our stockand don't buy it. Ben Kallo: Can you give us an update when you get to 3,000 and 4,000 per weekon the Model 3? Musk: Actually, the -- what's -- Tesla's such a leaky server of information that I think the news will leakpretty quickly. Also people track registrations very closely. So at most, any information that we providewould be 1 week or 2 in advance of what will become public knowledge.",negative,0.734090298,Automotive
"Elon R. Musk: I think it will probably increase the total number of sedans purchased. We see quite a wide range of cars [indiscernible] a lot oftrading in the cars. They're not necessarily owners of a C-Class or an Audi A4 or a 3 Series. We saw signs of trade-in with Model S, so with Model 3 it's going to be even more prominent. And I think -- like also, once we get to like the shared autonomy, ride-hailing thing, we-- it could be as soon as the end of next year, but that's already technically ready.",positive,0.518978924,Automotive
"Elon Musk, J.B. Straubel, Deepak Ahuja and a number of otherexecutives will be on the call. The conference is being recorded. Martin Viecha, Senior Director of InvestorRelations, will lead the way. The call is being webcast on Tesla's website at http://www.telsa.com/investor-relations/quarterly-financial-results-and-Q&A-Webcast. For confidential support, call the National Suicide Prevention Lifeline at 1-800-273-8255 or visit www.suicidepreventionlifeline.org.",neutral,0.831928909,Automotive
"Elon R. Musk - Tesla, Inc. - Co-Founder, CEO, Director & Product Architect Okay. So with the deliveries this year being -- even inthe face of -- if there's a global recession, we're expectingdeliveries this year to be about 50% higher than last year. And we expect that exponential to continue. Over Q4, we achieved GAAP profitability for the second quarter for the first time in the companyhistory. We increased our cash on hand by more than $700 million, even after paying debt,ending the year with a total of $3.7 billion of cash. This means we have enough cash to settle ourconvertible bond that will mature in March. In addition, our operating margin remains strong at 5.7%.",positive,0.605864197,Automotive
"The Mobile Servicefleet is something we can scale up very rapidly, because we don't need bricks and mortar. We can actually send one of our service vans to your work or home and fix thecar without you having to bring it into a service center or do any paperwork or anything like that. It's really seamless, invisible, the customers love it. We're also increasing the functionality of the Tesla App for service, so that you can just open your Tesla App, say youwant to make a service appointment, and it lists the top 10 most frequently requested service items. And we're going tomake it easier for the car to be picked up and dropped off as well. That's something that we'll be -- so that's already been rolled out and have a big improvement to customer satisfaction.",positive,0.799778134,Automotive
"3/4 of the Model Y is common with the Model 3, so it's a much lower CapEx per vehicle than Model 3. This is in contrast to Model S versus Model X, where the theory was -- Ithink Model X to be like sort of the Faberg© egg of cars. It's a-- it's an incredible vehicle and probably one -- probably nothing like it will ever be made again,and maybe it shouldn't. But it is a work of art. But the commonality withthe Model S is limited. It was only about maybe 30% in common withThe Model S, whereas ModelY is, I think, 76% or something like that, incommon with theModel 3. And we're most likely goingto put Model Y production right next to -- in fact, as part of our main Gigafactory in Nevada.",neutral,0.528665468,Automotive
"The demand for Model Y will be maybe 50% higherthan Model 3, could be even double. So we'll probably see a higher volume of Y than 3. And earlier this month, we started construction of Gigafactory Shanghai, and by the end of thisyear, we expect to be producing Model 3s using a complete vehicle production line. And that should allow us to get to the 10,000 vehicles a week rate, or very close to it, bythe end of the year. And yes, I think that's it. It's not a for-sure thing, but it's quite likely, and it's our default plan. And we do feel quite confident at this point, at least for thefactories that are in our control, that we can achieve volume production in Shanghai.",positive,0.646069974,Automotive
"The second question would be, how are you feeling about demand right now across the productline? Is 500,000 to 700,000 units at $42,000 ASP still a realistic annual target for Model 3, evenconsidering Model Y and its impact on demand? And do you continue to see S and X demand of100,000 annually?Elon R. Musk - Tesla, Inc. - Co-Founder, CEO, Director & Product ArchitectSure. We -- we already have full self-driving capability on highway. So from highway on-ramp tohighway exit, including passing cars and going from one highway interchange to another, full selfdriving capability is there. In a few weeks, we'll be pushing an update that will allow the option ofremoving stalk confirm in markets where regulators approve it, which we believe that will be thecase in the U.S",neutral,0.665620714,Full Self-Driving
"Elon R. Musk - Tesla, Inc. - Co-Founder, CEO, Director & Product ArchitectYes, sounds good. So maybe we'll take the last question from retail investors, which was, where will Tesla Semiand Model Y be produced? Can you share a time line on expected production ramp of these products?Elon Musk: There will be production volume of Model Y by the end of next year. For Semi, we're -- I don't know if you want to comment on that,Jerome?Jerome Guillen - Tesla,. - President of Automotive DivisionGoing to start next year as well. And then the Tesla pickup truck, we might be ready to unveil that this summer. Itwill be something quite unique, unlike anything else.",positive,0.747987986,Automotive
"Elon R. Musk - Tesla, Inc. - Co-Founder, CEO, Director & Product ArchitectYes, I mean, as a ballpark figure, probably it's something about -- something in the order of $0.5billion in CapEx to get to the 3,000 vehicle rate in Shanghai. And as Deepak wassaying, we've been offered very competitive debt financing in China, really extremely compellinginterest rates, so we do not expect that to be a capital drain on the company. The plan, as we have indicated in the letter, is still to get funding for amajority of debt capital spending from local China banks. And we expect pretty attractive ratesbased on the dialogue we've had.",neutral,0.59297739,Automotive
"Elon R. Musk - Tesla, Inc. - Co-Founder, CEO, Director & Product Architect. The accelerationof sustainable energy is absolutely fundamental because this is the next potential risk for humanity. But also, very important isautonomy. This has the potential to save millions of lives, tens of millions of serious highwayinjuries and give people their time back so that they don't have to drive, they can -- if you're on theroad, you can spend time doing things that you enjoy instead of being in terrible traffic. We're very appreciative of the Chinese government allowing usto do this. I think it is symbolic of them wanting to open the market and apply fair rules foreveryone.",positive,0.604286626,Full Self-Driving
"We feel confident about our technical strategy. We have, at this point, somewhere in the order of300,000 vehicles on the road, with a 360-degree camera sensor suite, radar, ultrasonics, alwaysconnected, uploads. So effectively, we have a massive, massive training fleet. Our -- the miles of trainingthat we have, if you added everyone else up combined, they're probably 5% ofthe miles that Tesla has. And this difference is increasing. A year from now, we'll probably go -- andif you go, certainly, ifyou go 18 months from now,. We'll probably have 1 million vehicles onThe car, with -- and every time the customers drive the car, theyre training the systems to be better. I'mjust not sure how anyone competes with that, I'mnot sure how everyone can compete with that.",positive,0.638752013,Full Self-Driving
"Elon R. Musk - Tesla, Inc. - Co-Founder, CEO, Director & Product ArchitectYes, it's maybe on the order of 350,000 to 500,000 Model 3s, something like that this year.Jerome Guillen - Tesla - President of Automotive DivisionThis is Jerome. We take fewer hours, both here in Fremont or at the Gigafactory, to assemble the Model 3and S and X as well. And then we track the quality very closely. We review that carefully with theengineers and the supply chain and the manufacturing teams. And the quality in the field and thenumber of incidents is also improving week-over-week, every week. So there are fewer and fewerneed for cars to be in service, yes.",neutral,0.636437476,Automotive
"Model 3s that come off the line, all that happens is like some slight adjustment of drawer gaps andpanel gaps and that kind of thing, and that's all that's done. There's nothing more than that. Like I said -- like for us, regarding the model 3s, there is nothing more to it than that,"" he said. ""It's just a little bit of tweaking,"" he added, ""and that's it. That's all it is. It's not a big deal."" The Model 3 goes on sale in the U.S. in the fall.",neutral,0.706418306,Automotive
"There's the cell, the module and the pack. So it's really just a question of cell supply. We can essentially use anyhigh energy density 2170 chemistry. And we expect it to be a combination of cells produced at ourGigafactory in Nevada, cells produced in Japan and cells produced locally in China. We feelconfident of there's sufficient supply to hit the 3,000 units a week. We will be making themodule and the packs. We are working with a number of partners to develop our first product. We hope to have a product on the market by the end of the year. For confidential support call the Samaritans on 08457 90 90 90, visit a local Samaritans branch or click here for details.",neutral,0.604202032,Energy Generation and Storage
"Elon R. Musk - Tesla, Inc. - Co-Founder, CEO, Director & Product ArchitectYes. We expect to introduce the standard range Model 3sometime, probably the middle of this year is a rough -- rough guess. And we're working hard toimprove our costs of production, our overhead costs, our fixed costs, just costs in general. I thinkwe're way smarter about how we spend money, and we're getting better with each passing week. Yes. Our next question comes from Emmanuel Rosner with Deutsche Bank.Emmanuel Rosner - Deutsche Bank AG, Research Division - Director & Research AnalystFirst, I wanted to ask you about the short-range Model 3. What are your latest thoughts in terms oftiming of introduction? I think at some point, you had in mind to do it in the -- maybe the first halfof this year.",neutral,0.535771161,Automotive
"Elon Musk: We need to bring the Shanghai factory online. I think that's the biggest variable for getting to500k-plus a year. Our car is just very expensive going into China. And we've never been eligible for any of theEV tax credits. In fact, we are, for acompany making EVs, we have the least access to incentives. It's pretty crazy, because there's somany companies that, that -- countries that have put price caps on the EV incentive, whichdifferentially affect Tesla. So it's difficult. Once a car is made there, it is eligible forthat. But it sounds like that's going to be reducing in China in the coming years. But really, bottomline is, we need the ShanghaiFactory to achieve that 10k rate and have the cars be affordable.",negative,0.605354369,Automotive
"Deepak Ahuja - Tesla, Inc. - Former CFOYes, it's a very broad question, which is not really just for me to answer. But I think at the highestlevel, the way we are trying to be prepared for any kind of contingency is to just continue focusingon cost. And the theme of our conversations here is, how do we reduce cost all the time? And howdo we run our business with a very high level of financial discipline? And Elon alluded to that andso did Jerome, I think. That if we do that, we believe that even in some of the scenarios of lowervolumes and pricing, tight pricing, we do have a good chance and a good shot of being profitable.",neutral,0.664662749,Automotive
"Elon R. Musk - Tesla, Inc. - Co-Founder, CEO, Director & Product ArchitectYes, absolutely. The -- I mean, we're not even really trying, I should point out. I guess, it's -- we --our factory is like, right now, only making cars for China and Europe. That's all it's doing for -- withrespect to Model 3. And our whole focus is, okay, how do we get those cars made, get them on aship as fast as possible, get the ship as fast. as possible to Zeebrugge in Belgium, then get them overto Drammen in Norway. We get them to China asfast as possible. But we need to get them there while there'ssort of a de facto -- sort of a truce on the tariff war. And the demand gen is really not one of thethings we're thinking about.",neutral,0.626602411,Automotive
"Elon R. Musk - Tesla, Inc. - Co-Founder, CEO, Director & Product ArchitectReservations are just like preorders. It's like you have like some video game come out and it's like apreorder number, then that's like -- stops being important once you start shipping the game orproduct. So yes, as I said earlier, I think -- my guess is demand is somewhere on the order of 700,000 or 800,000 units a year for Model 3 and even in arecession is probably on the Order of 0.5 million. Deepak Ahuja - Tesla,. Inc. -- Former CFO. Isit possible to give us an update? I know you don't think it's really a relevant number, but I do and I'll explain why.",neutral,0.694415271,Automotive
"Elon R. Musk - Tesla, Inc. - Co-Founder, CEO, Director & Product ArchitectWell, like I said, we're thinking about demand almost 0 right now. It's really getting the productthere in time and not having a ton of cars on the water end of the quarter and then for China, gettingcars there before there's a potential rise in tariffs. That's really -- put really at front of mind, that costreduction and then improving service in North America, yes. And just maybe a quick follow-up. Can you just talk about, when we look at the Gigafactory build-out in China and obviously how important that is?",neutral,0.639317214,Automotive
"It's both, it's both the vehicle and both the powertrain. So I split my time half and half between theGigafactory and here, and there is opportunities in both, yes. But I think the bigger point is that, yes, there is cost reduction opportunities out, but the biggerpoint is not that our cost is higher than a gas-powered or an internal combustion engine.Martin Viecha - Tesla, Inc. - Senior Director for IRI think what Toni meant is with a battery pack, as in battery pack as well as powertrain together,are more expensive than an engine.Elon R. Musk - Tesla,. Inc - Co-Founder, CEO, Director & Product ArchitectThat's true. And is that sort of the order of magnitude? And where doyou see those getting much more aligned, just sort of given the laws of where you think cell andpack costs are going?",neutral,0.556842417,Automotive
"Elon R. Musk - Tesla, Inc. - Co-Founder, CEO, Director & Product ArchitectThat's a highly proprietary number. I'd like to tell you, but no. We do thinkwe have the best costs in the world. We're -- to the best of our knowledge, our costs are better thananyone else right now and they're improving. And maybe talk about your expectations with the Panasonic-Toyota JV and how it might impactyou. Was this something that you were made aware of? I spoke directly with Tsuga-san about this, the Head of Panasonic, and he has assured me this willhave no impact on Tesla.",neutral,0.512289718,Automotive
"Elon R. Musk - Tesla, Inc. - Co-Founder, CEO, Director & Product ArchitectYes, exactly. Our leases are legit. The -- it usually affects small business tax write-off, is importantfor the -- for leasing, so. It's around 20%, low 20s, and it stayed stable at that level for many, many quarters, which is -- itseems like the natural demand because we don't do subvention or artificially bump up prices. And then just the last one is, this change in your service parts structure to make things more distributedrather than in the parts warehouses, would that be like a meaningful working capital drag?",neutral,0.50577113,Automotive
"Elon R. Musk - Tesla, Inc. - Co-Founder, CEO, Director & Product ArchitectYes, J.B., is there anything you want to say?Jeffrey B. Straubel - Tesla - CTOI mean, I think the letter outlines the predicted growth in the battery storage business, the stationarystorage business pretty clearly, and that should be included in the projections as well. So I mean,we're excited about it, but I can't say much more detail. We would have done more in stationarystorage last year except we were cell-starved for vehicle production, so we had to convert a bunch of stationary storage lines, battery lines, to vehicle battery lines. But some of itis kind of lumpy and may not be completed this year. And what canthat add to the bottom line on top of that $6 this next year?",neutral,0.626743168,Energy Generation and Storage
"Deepak Ahuja, Tesla's former CFO, has announced his retirement. Zach Kirkhorn, who has been with Tesla now for 9 years, will take over as CFO. Deepak will continue to be at Tesla for afew more months and will continue as a senior adviser to Tesla for probably years to come,hopefully. Zach's incredibly talented and has made a huge contribution to Tesla over the years,and obviously, a very well-known quantity to the whole team. There is no good time to make this change. We felt this was a good time. It's a new chapter,a new year. Tesla has had 2 great quarters of profitability, cash flow, it's on a really solid foundation.",positive,0.778801709,Automotive
"Zach Kirkhorn joined Tesla just under 9 years ago, when we were a super smallcompany with a lot of potential ahead of us. My focus, alongside the talented and amazingly passionate team at Tesla, is to ensure wecontinue the terrific momentum on cost management and operational efficiency, which is key to achieving themission of the company. On a personal note, Deepak, a huge thank you to you for your leadership,mentorship and support and very much looking forward to discussing our progress on futureearnings calls. We will speak to you in 3 months. Thank you very much.Elon R. Musk - Tesla, Inc. - Co-Founder, CEO, Director & Product ArchitectThanks, guys.",positive,0.95076406,Automotive
"The company's Q2 2019 financial results and Q&A Webcast will be available on the company's website. During the call, the company will discuss its business outlook and make forward-looking statements. The company's Model 3 is once again the best-selling premium vehicle in the U.S., outselling all of its gas-powered equivalents combined. As a reminder, this conference may be recorded. I would now like to turn the call over to your host, Senior Director of Investor Relations, MartinViecha. Sir, you may begin.Elon R. Musk - Tesla, Inc. - Founder, CEO & DirectorThank you, Latif, and good afternoon, everyone. I'm joined today by Elon Musk, J.B. Straubel, Zachary Kirkhorn and a number of otherexecutives.",positive,0.689870566,Automotive
"In Europe, Model 3 is approaching sales levels of its established premiumcompetitors, and it was awarded a 5-star rating from Euro NCAP earlier this month. Motor Trend also recently selected Model S as the best vehicle they have ever tested in their 70-year history across all other cars. By the end of this year, we will -- we expect to be producingModel 3s in volume out of Gigafactory Shanghai.Here in Fremont, preparations for Model Y production have already begun. Since Model Y has high component overlap with Model 3, it should be a lot easier to ramp. It's something in the order of 3/4 of all the parts are common between Model 3 and Model Y .",positive,0.837704003,Automotive
"This quarter, we opened 25 new service locations and added more than 100 Mobile Service vehiclesto our fleet. And although our fleets have a total -- Tesla fleet size has doubled in the past 12months, which is again just kind of a crazy thing to consider that Tesla is almost doubling allcumulative production every year. This is a totally mad thing to make as many cars in a year aswe've made in our entire history. But Tesla is expanding at an exponential rate. And in fact, if you look at the Tesla cumulativedeliveries chart like year-over-year cumulative deliveries, it's about the cleanest exponential graphI've ever seen.",positive,0.770730495,Automotive
"People often confuse deliveries, production and orders for Tesla, and they'reactually 3 different numbers. So yes, you obviously cannot deliver more than you make, and sotypically, we will make more than we deliver. And then demand generation activities kind of movein kind of like -- to get together with production like it doesn't make sense to put a lot of effort intodemand generation if production can't meet the demand. Zach, is there anything you'd like to say about our results?Zachary Kirkhorn - Tesla, Inc. - CFOYes, sure. Overall,Q2 was a strong quarter for Tesla. We've achieved record vehicle production and delivery, record storage production and deployment,record services and other revenue with a corresponding reduced loss.",neutral,0.518323392,Automotive
"GAAP automotive gross margin only reduced slightly despite the reduction in credit revenue andexpected reductions in our vehicle average selling prices. Adjusting for the impact of credits,automotive gross margin improved materially. For Model S and Model X, ASPs are impacted bypricing actions applied to inventory of vehicles built prior to the launch of our powertrain andsuspension upgrades in April. Note that we continue to defer a significant portion of revenue associated with full self-driving, which will be recognized in future periods upon the release of additional features.Operating expenses, net of restructuring, continues to improve as well despite the increases involume, reflecting the immense focus on improving our operating efficiency. And thus far inQ3, our order pacing is ahead of where we were at this point in Q2.",neutral,0.600782454,Automotive
"J.B. Straubel, our Co-Founder and Chief Technology Officer,will be transitioning to a senior adviser from the CTO role. And Drew Baglino will be taking overmost of J.B.'s responsibilities. With the cash we have on hand and the stabilization of Model 3across the key areas as I've noted, we believe we're in great shape for this next phase of growth. And maybe just to add a bit more to that. I'm not disappearing, and I just want to make sure that people understand that this is not some lack of confidence in the company or theteam or anything like that. Elon R. Musk - Tesla, Inc. - Founder, CEO & DirectorYes. Lunch with you and Harold Rosen (inaudible). That's the reason Tesla exists.Jeffrey B.Straubel - Tesla - CTO & Senior AdvisorThanks, Elon.",positive,0.552152634,Automotive
"J.B. Musk: ""I have total confidence in Drew. And I'm not going anywhere if there's anything I need to do to be helpful to Drew or thewhole team or any of the ongoing projects"" ""I'm actually really happy with how we'vekind of phased and transitioned some of these different projects and people in, and I feel like this isa super-good process overall,"" Musk says. ""I love the team and I love the company and I always will,"" Musk adds. ""We're very excited about the growth ahead of us, myself and the whole team"" ""We've beentalking about this project back in 2003 all along and..."" ""It was like the same line. It's like finally ready, just needed to be put in a car,"" he says.",positive,0.938870877,Automotive
"Drew Baglino - Tesla, Inc. - Former VP of TechnologyYes, they did some fine work. Got to give those guys a little credit. AC Propulsion. Al Cocconi, Tom Gage. TZero. Yes. Great. I think we'll go ahead with some questions now.Martin Viecha - Tesla,. Inc - Senior Director for IRThank you very much. So we have some first questions from our retail shareholders from say. say.acpropulsion.com. Elon R. Musk, Founder, CEO & Director, Tesla. - Founder and Director of the company. The first question is from Martin Viecha, Tesla's Senior Director of IR.",positive,0.899134934,Automotive
"Elon R. Musk - Tesla, Inc. - Founder, CEO & DirectorYes. Essentially, we expect average selling prices to be the same within a few percentage points. And one other thing I'll add is that we are focusing on acouple of markets as well to target and to identify some of our sales, and so some ofOur pricingadjustments reflect those elements of that strategy. And we continue to make great progress on costefficiencies. And so overall in net, our expectation is that the Model 3 gross margin will continue togrow.Martin Viecha - Tesla - Senior Director for IRThe second question is many of us who follow Tesla closely are incredibly excited about Batteryand Powertrain Investor Day. Can you provide us any more detailon when this will be and what will be covered?",positive,0.647862464,Automotive
"Elon R. Musk - Tesla, Inc. - Founder, CEO & DirectorYes, I think for our Battery Day, we're going to do a comprehensive review of cell chemistry, module and pack architecture and a manufacturing plan that has a clear road map to a terawatt hourper year. The timing for this probably is about 6 months, like maybe February or March next year,show and tell.Martin Viecha - Tesla - Senior Director for IRGreat. The next question is you stated on the Q4 2018 earnings call thatcustomer service was a personal priority for 2019. Can you update us on what has been done to ensure that all owners are receiving an industry-leading customer experience?",neutral,0.617601901,Energy Generation and Storage
"In April, Gigafactory 1 had efficiency of about 23 out of the 35 gigawatthours theoretical capacity. Has this been improved yet? And is Tesla still cell constrained? Are thereany near-term plans to increase the plant theoretical capacity? And the last question is what is the new Lathrop facility? Nothing major. It's a parts distribution warehouse. And it's the #1 visit is how to use Autopilot. So yes, a bit of education there helps. There's a lot of improvements thatwe've already implemented and many more on the way. So I'm relatively optimistic, and I'm happyto help with the service team. Yes, we're not...Elon R. Musk - Tesla, Inc. - Founder, CEO & DirectorYes.",positive,0.596928,Automotive
"Martin Viecha - Tesla, Inc. - President of Automotive DivisionYes. We're optimizing the real estate, trying to consolidate everything under one roof, reduce thecost. There's really nothing special there. Thank you very much. Latif, we can start the Q&A question queue on the call. IROkay. - Senior Director for IRO Kay. - We are happy to answer any questions that you may have about Tesla's products and services. If you have any questions, please contact us at: [email protected] and we will try to get back to you as soon as possible. We are looking forward to talking to you soon. Thanks for joining us.",positive,0.679818094,Automotive
