Date,Content
2020-12-18,Tesla's most loyal fans have become millionaires this year — on paper https://t.co/3HZQKKBHc3
2020-12-17,Tesla was upgraded by S&amp;P Global Ratings after a recent share sale boosted its cash to record levels https://t.co/GcendURd0M
2020-12-17,Mattel is telling customers who pre-ordered toy versions of Tesla’s Cybertruck that they won't ship for another five months and won't arrive for Christmas https://t.co/0qyg63Ypsq
2020-12-17,A group of Wall Street data nerds argue Tesla may prove to be a drag on the S&amp;P 500 https://t.co/nbUEnuK5Wc
2020-12-17,Tesla is the only U.S. automaker to meet a commitment to equip all its models with automatic emergency braking almost two years ahead of schedule https://t.co/UsgbZkAf2x
2020-12-17,"Tesla's addition will only have a minimal impact on the S&amp;P 500 Index's valuations, Goldman says https://t.co/chG3ouTqx1"
2020-12-17,A group of Wall Street data nerds argue Tesla may prove to be a drag on the S&amp;P 500 https://t.co/BCuRy02o6U
2020-12-15,Volkswagen CEO Herbert Diess will pit the company's largest plant against the Tesla factory under construction near Berlin https://t.co/RTXH2l6nqE
2020-12-14,"Former Boeing CEO Dennis Muilenburg is joining Monarch Tractor, a Silicon Valley startup that’s angling to be the Tesla of the Corn Belt https://t.co/EfRh3MVpn5"
2020-12-14,Are Tesla’s shares worth $90 or $780? Wall Street can’t decide https://t.co/6mVKh21sQI
2020-12-14,"For all the talk of ""Tesla fighters,"" Fiat Chrysler, Ford and General Motors were fine to let Elon Musk have his fun and his fun-house stock valuation. That is until 2018, when Tesla started tweeting about making a pickup https://t.co/Au8hq0IAHL"
2020-12-14,Are Tesla’s shares worth $90 or $780? Wall Street can’t decide https://t.co/0yv2g1yRps
2020-12-13,"For all the talk of ""Tesla fighters,"" Fiat Chrysler, Ford and General Motors were fine to let Elon Musk have his fun and his fun-house stock valuation. That is until 2018, when Tesla started tweeting about making a pickup https://t.co/WnT3MTAWm4"
2020-12-13,"For all the talk of ""Tesla fighters,"" Fiat-Chrysler, Ford and General Motors were fine to let Elon Musk have his fun and his fun-house stock valuation. That is until 2018, when Tesla started tweeting about making a pickup https://t.co/YIm6N4USTa"
2020-12-13,Are Tesla’s shares worth $90 or $780? Wall Street can’t decide https://t.co/7t2IcKYFdn
2020-12-13,Are Tesla’s shares worth $90 or $780? Wall Street can’t decide https://t.co/LTvYIqEPcN
2020-12-13,Are Tesla’s shares worth $90 or $780? Wall Street can’t decide https://t.co/WKpRquRnUx
2020-12-12,Elon Musk said demand for Tesla vehicles is so high that production needs to increase as much as possible for the rest of December https://t.co/ICqRGoCh98
2020-12-12,Are Tesla’s shares worth $90 or $780? Wall Street can’t decide https://t.co/T1g3nafNUR
2020-12-12,Elon Musk said demand for Tesla vehicles is so high that production needs to increase as much as possible for the rest of December https://t.co/zm8WfPSWmz
2020-12-11,The S&amp;P 500 Index will remove Apartment Investment and Management Co. to make way for Tesla https://t.co/bTB6jCDPGp
2020-12-11,BREAKING: Tesla replaces Apartment Investment in S&amp;P 500 Index starting Dec. 21
2020-12-11,What companies will Tesla displace when it joins the S&amp;P? The wait to find out is almost over https://t.co/DGzuSwhxS0
2020-12-10,Steel Dynamics shares jumped on a report that it could soon be supplying Tesla with steel for its upcoming truck https://t.co/giOGeJAHGJ
2020-12-10,Tesla beats a legal challenge that threatened to delay Elon Musk’s plan to build his first electric-car factory in Germany https://t.co/MjEL8kx3JT
2020-12-09,"Investors thinking of raising their holdings in Tesla ahead of its impending addition to the S&amp;P 500 Index should not, JPMorgan says https://t.co/NL5yNUOMTJ"
2020-12-09,Tesla's sale of new shares comes at a good time for markets https://t.co/ZVhUSC7vWU https://t.co/MzSrna9D2p
2020-12-08,Tesla claims it's nearly self-sufficient. So why does it keep going back to the stock market for more cash? https://t.co/i72VkpsxTq via @bopinion
2020-12-08,"Elon Musk confirms he has moved to Texas where two big priorities, SpaceX’s new Starship spacecraft and Tesla’s new Gigafactory, are located https://t.co/Evx8A6raFX"
2020-12-08,"Tesla has raised a total of $12 billion this year alone, or more cash than is held by 88% of the companies in the S&amp;P 500 https://t.co/ghOBgfEJMi"
2020-12-08,A German court orders Tesla to halt logging to clear room for its German Gigafactory after environmentalists sue https://t.co/rtZSKAkfhB
2020-12-08,"A startup backed by VW says new data show its batteries can be charged to 80% of full power in 15 minutes, almost twice as fast as a Tesla Model 3 https://t.co/SLOQ9wmRqM"
2020-12-08,Tesla will tap capital markets for the third time in ten months by selling as much as $5 billion of stock https://t.co/ul8f0yvBKB
2020-12-06,The CEO of VW plans to use his Audi brand to take on Tesla in electric vehicles https://t.co/86vuwtFEyp
2020-12-06,The CEO of VW plans to use his Audi brand to take on Tesla in electric vehicles https://t.co/Rp4pnm3g1q
2020-12-06,Tesla's first diversity report highlights a lack of diversity with a predominantly male and White leadership team https://t.co/qS1yJHpmTB
2020-12-06,The CEO of VW plans to use his Audi brand to take on Tesla in electric vehicles https://t.co/Zmx14RWsqg
2020-12-06,"Bloomberg 50: Zeng Yuqun's deal to supply batteries to Elon Musk's Tesla helped cut the price of the Model 3 to about $37,000 in China, cheaper than anywhere else https://t.co/Pw5dSmYcHd"
2020-12-06,Tesla's first diversity report shows minorities make up more than half of its employees in the U.S. and a third of its directors and vice presidents https://t.co/OykfTuwxsi
2020-12-05,Tesla's first diversity report highlights a lack of diversity with a predominantly male and White leadership team https://t.co/pdtZWK0neK
2020-12-05,The CEO of VW plans to use his Audi brand to take on Tesla in electric vehicles https://t.co/SVM0vq8dVG
2020-12-05,The CEO of VW plans to use his Audi brand to take on Tesla in electric vehicles https://t.co/ZboBz1z2Lf
2020-12-05,Tesla's first diversity report shows minorities make up more than half of its employees in the U.S. and a third of its directors and vice presidents https://t.co/BXkeujvQXV
2020-12-05,"Bloomberg 50: Zeng Yuqun's deal to supply batteries to Elon Musk's Tesla helped cut the price of the Model 3 to about $37,000 in China, cheaper than anywhere else https://t.co/5ZheFiTfdu"
2020-12-05,Elon Musk is the world's second-richest person with a $139 billion fortune. But the Tesla CEO isn’t the only electric-vehicle entrepreneur to have turned fabulously wealthy this year. https://t.co/gUabihS2BR
2020-12-04,"David Einhorn's losing investments — notably, his high-profile bets against Tesla and Netflix — have gotten a lot of unwanted attention lately. But he still has one big thing going for him https://t.co/i9Yo2411As"
2020-12-04,"David Einhorn's losing investments — notably, his high-profile bets against Tesla and Netflix — have gotten a lot of unwanted attention lately. But he still has one big thing going for him https://t.co/yMbayK92Qz"
2020-12-04,Elon Musk is the world's second-richest person with a $139 billion fortune. But the Tesla CEO isn’t the only electric-vehicle entrepreneur to have turned fabulously wealthy this year. https://t.co/3DPE4YiCal
2020-12-04,"Bloomberg 50: Zeng Yuqun's deal to supply batteries to Elon Musk's Tesla helped cut the price of the Model 3 to about $37,000 in China, cheaper than anywhere else https://t.co/6ucPsyyfDR"
2020-12-03,Elon Musk is the world's second-richest person with a $139 billion fortune. But the Tesla CEO isn’t the only electric-vehicle entrepreneur to have turned fabulously wealthy this year. https://t.co/MtgrNN1cyE
2020-12-03,"Jim Chanos has been short Tesla's stock for five long years. 

And although he’s reduced the size of the trade — he’s not done with it yet https://t.co/vLMiKuWt4z"
2020-12-03,Electric-car sales in Germany will surpass those in Tesla's home state of California for the first time this year https://t.co/oo3uugRwUI
2020-12-03,"Famed short seller Jim Chanos is losing his bet against Tesla's Elon Musk, but he's not giving up on it https://t.co/S8SA4P6r5q"
2020-12-03,Elon Musk is the world's second-richest person with a $139 billion fortune. But the Tesla CEO isn’t the only electric-vehicle entrepreneur to have turned fabulously wealthy this year. https://t.co/iMDuQXywib
2020-12-03,Elon Musk is the world's second-richest person with a $139 billion fortune. But the Tesla CEO isn’t the only electric-vehicle entrepreneur to have turned fabulously wealthy this year. https://t.co/aEbyRqwyOv
2020-12-03,"Goldman Sachs is newly bullish on Tesla, upgrading the electric-car manufacturer to a buy rating from neutral https://t.co/onc2alsMAZ"
2020-12-02,Some star managers who have ridden Tesla's ascent to superior returns may be left cold by its entry into the S&amp;P 500 https://t.co/RdEZQHZaxa
2020-12-02,Some star managers who have ridden Tesla's ascent to superior returns may be left cold by its entry into the S&amp;P 500 https://t.co/kFdq7V1Tzg
2020-12-01,Tesla’s addition to the S&amp;P 500 in one shot is expected to spur as much as $70 billion worth of passive-fund flows https://t.co/UnAzNGhk6I
2020-12-01,Tesla CEO Elon Musk urged employees in an internal email to stay focused on cutting costs and prevent a reversal in Tesla’s soaring stock price https://t.co/pJlHATWG5F
2020-12-01,The CEO of VW plans to use his Audi brand to take on Tesla in electric vehicles https://t.co/cnStaed8YG
2020-12-01,The CEO of VW plans to use his Audi brand to take on Tesla in electric vehicles https://t.co/IdrcwAb1p2
2020-11-30,"Tesla will be added to the S&amp;P 500 in one shot on Dec. 21, forcing money managers to adjust their portfolios to make room for the $538 billion company https://t.co/AcDkdIOumw"
2020-11-30,Tesla shares look set for a day of brisk trading ahead of a decision from the S&amp;P Dow Jones Indices on how it plans to add the company to its benchmark https://t.co/wglUPxD90W
2020-11-28,"When Tesla finally joins the S&amp;P 500, it will be bitter-sweet for investors with about $11 trillion in funds tied to the index 
https://t.co/mA9uEB7sR5"
2020-11-27,"The National Highway Traffic Safety Administration is investigating whether faulty suspension parts on nearly 115,000 Tesla cars can result in damage to the tires https://t.co/5c3npEXL6G"
2020-11-26,Tesla is smashing through records. The company’s market valuation hit over the $500 billion mark for the first time on Tuesday https://t.co/E0SAiF9zrJ
2020-11-24,Tesla is smashing through records. The company’s market valuation hit over the $500 billion mark for the first time on Tuesday https://t.co/faOPJrHj7C
2020-11-23,"Tesla's relentless rally is also propelling smaller electric vehicle upstarts, which are far outperforming the broader market’s gains https://t.co/lhOK7IgSGt"
2020-11-20,"Tesla was the best performer in the Nasdaq 100 this week, as the stock set new record highs following the news that it would enter the S&amp;P 500 Index https://t.co/MT4f4jd5iV"
2020-11-20,"Tesla shares are on tear, with demand likely to surge from the stock's inclusion in the S&amp;P 500 Index https://t.co/veseOh1F6e https://t.co/x6CNjkVMQ5"
2020-11-19,Tesla led the unstoppable rally in electric vehicle stocks on Thursday https://t.co/TCnWzFdh8Z
2020-11-18,Elon Musk is just a Tesla rally away from unseating fellow mega-billionaire Bill Gates as the second-richest person on the planet https://t.co/mKjO04kWRr
2020-11-18,What's the next Tesla? Investors are turning their attention toward smaller EV companies in the hopes that they too might develop a cult following https://t.co/3EVAO6Y8iP
2020-11-18,“To only value Tesla on car sales alone ignores the multiple businesses embedded within the company” https://t.co/sX3YBZtRxF
2020-11-18,“To only value Tesla on car sales alone ignores the multiple businesses embedded within the company” https://t.co/8FqF2qiSWe
2020-11-18,Electric-SUV maker Nio to add sedans as Tesla rivalry heats up https://t.co/TVcjqOmpab
2020-11-17,Keurig Dr Pepper could follow Tesla into the S&amp;P 500 https://t.co/67t6n6lKNS
2020-11-17,"Tesla is joining a trade group with Uber, power utilities, battery makers and other companies to lobby for 100% electric-vehicle adoption by 2030 https://t.co/nStNxsHTEJ"
2020-11-17,Tesla shares surge 13% at the open https://t.co/3Cbc8x0zG6 https://t.co/DkASIuzDlH
2020-11-17,Tesla’s joining the S&amp;P 500 can help supercharge record rally https://t.co/kv91naH4uD
2020-11-17,Vaccine drives stocks despite more restrictions and Tesla will join the S&amp;P 500. Get ready for Tuesday https://t.co/ekpc5OAELP
2020-11-17,"-U.S. futures ⬇️
-Australia stocks rise
-Japan, China stocks ⬇️
-Tesla shares jump more than 10% in after-hours trading after an announcement that Elon Musk’s carmaker will join the S&amp;P 500
-Oil advances above $41 a barrel
https://t.co/8GpzJOj4a2"
2020-11-17,Tesla’s joining the S&amp;P 500 can help supercharge record rally https://t.co/eJbCRKkfHb
2020-11-17,Tesla is so huge it may take two steps to put it in the S&amp;P 500 https://t.co/CDYEqQFr4C
2020-11-17,"Elon Musk's net worth jumped more than $15 billion after it was announced that Tesla would join the S&amp;P 500, which would push him past Mark Zuckerberg to become the world’s third-richest person https://t.co/e6lI1dg0wF"
2020-11-16,"BREAKING: Tesla will be added to the S&amp;P 500 effective Monday, December 21. The stock surged as much as 9.8% in extended New York trading on the news

https://t.co/o2inezrVoJ https://t.co/oV61J04ivg"
2020-11-13,Does Elon Musk have Covid-19? Are tests producing false positives? The Tesla CEO’s tweets about virus testing raise more questions than answers https://t.co/UZSpDLzmEK
2020-11-13,"Nio stock surge tops 1,000% as Tesla’s China nemesis gains speed https://t.co/UtFzGeLhiz"
2020-11-13,"Nio stock surge tops 1,000% as Tesla’s China nemesis gains speed https://t.co/TiyGUOy4eV"
2020-11-12,Joe Biden will bring something that manufacturers from Volkswagen to General Motors to Tesla badly need: help selling electric vehicles https://t.co/rBRuDgJaZT via @BW
2020-11-12,"Ford, playing catch-up to Tesla in electric cars, is rolling out a battery-powered cargo van https://t.co/Kobrc2RueQ"
2020-11-12,Joe Biden will bring something that manufacturers from Volkswagen to General Motors to Tesla badly need: help selling electric vehicles https://t.co/3ELXf7gIpy via @BW
2020-11-07,"With help from Tesla, money manager Cathie Wood could be the first star of exchange-traded funds https://t.co/Y3KMo4Z0VT via @BW"
2020-11-05,Tesla project will install another giant battery in Australia https://t.co/loBwO8d6rT
2020-11-02,Honda joins Fiat Chrysler in pooling its fleet with Tesla’s to comply with Europe’s tougher emissions standards for passenger cars this year https://t.co/5bYcgvcwO2
2020-10-30,"Looking to steal shoppers from Tesla and GM, Ford is aiming to install its hands-free driving technology on 100,000 vehicles in its first year https://t.co/xbXmcrA1OA"
2020-10-29,The world’s biggest maker of electric-car batteries faces a shareholder showdown over a proposal that would split the unit that supplies batteries to Tesla from the main company https://t.co/3VDNo0gkwx
2020-10-29,Crypto exchange FTX plans to trade top stocks from Tesla to Amazon https://t.co/muCCU1tvpU
2020-10-29,Panasonic beats estimates with boost from Tesla battery division https://t.co/x60pLKua7G
2020-10-27,"Tesla is offering U.K. households an electricity tariff that combines solar panels and a battery, turning them into virtual power plants https://t.co/IxvFoWycv8"
2020-10-27,"Contemporary Amperex, a supplier of electric-car batteries to Tesla, returned to profit growth after the pandemic eased in China https://t.co/i058LrMNpy"
2020-10-26,Tesla expects capital spending on new plants and equipment to reach the high end of a range from $2.5 billion to $3.5 billion in 2020 https://t.co/nTQm7nDq8v
2020-10-26,"Tesla’s Elon Musk collected the fourth tranche of his moonshot award this month, bringing his aggregate haul to $11.8 billion https://t.co/S8r68hgk1H"
2020-10-24,"Tesla recalls about 30,000 imported Model S and Model X vehicles in China because of suspension problems https://t.co/Q21UmJFOWa"
2020-10-24,"Tesla recalls about 30,000 imported Model S and Model X vehicles in China because of suspension problems https://t.co/lrmd7wj3fH"
2020-10-23,"Tesla recalls about 30,000 imported Model S and Model X vehicles in China because of suspension problems https://t.co/metXka3uDn"
2020-10-23,"Tesla recalls about 30,000 imported Model S and Model X vehicles in China because of suspension problems https://t.co/cUUPSFim8u"
2020-10-21,"Tesla reported a fifth consecutive quarter of profits Wednesday and said it remains on track to deliver 500,000 cars in 2020 https://t.co/T8k5KI6IGk"
2020-10-21,"Tesla, Heinz and similar companies race to avoid a Brexit crisis at year-end, as a shortage of customs brokers threatens their ability to move goods between Britain and the EU https://t.co/aDl2tEegxJ"
2020-10-21,"Tesla, Heinz and similar companies race to avoid a Brexit crisis at year-end, as a shortage of customs brokers threatens their ability to move goods between Britain and the EU https://t.co/u18sso68Zl"
2020-10-20,"Beijing Automotive Group’s electric-car unit is gearing up to launch a new high-end model called the Arcfox, at a price point that pits it against Tesla's Model 3 https://t.co/CNygTX03Dw"
2020-10-20,"Piedmont Lithium, which recently struck a five-year raw-materials pact with Tesla, is issuing shares in the U.S. https://t.co/xtxjdKeWa1"
2020-10-19,"It’s about the size of Tesla’s Powerwall, but can store up to three times as much energy over a longer period https://t.co/aGnG2lCMtm"
2020-10-19,Tesla will start exporting Model 3 cars made at its gigafactory on the outskirts of Shanghai to Europe starting later this month https://t.co/QuSB48wrqK
2020-10-17,Construction at Tesla’s German plant in Gruenheide can restart after the water was repotedly turned back on https://t.co/4PbIxQRpNS
2020-10-15,A Tesla customer sued the company for reporting a solar-financing agreement on his credit report as a massive loan that damaged his credit rating https://t.co/30MfgakFXh
2020-10-14,Tesla is hiring public and government relations staff in China https://t.co/Q1Xw81pCTb
2020-10-09,"Tesla wants to make batteries at its new factory in Austin, Texas, as well as building Cybertrucks https://t.co/yEOB2sSKQZ $TSLA https://t.co/aLVOkpvF1u"
2020-10-08,"When Baillie Gifford first bought Tesla stock in early 2013, the shares were trading at less than $10. They are now at more than $400 https://t.co/IMM8F4kiIm"
2020-10-08,"When Baillie Gifford first bought Tesla stock in early 2013, the shares were trading at less than $10. They are now at more than $400 https://t.co/t1bk88Q0Sa"
2020-10-06,Tesla is warning workers at its auto plant in California that an employee allegedly “maliciously sabotaged” part of a factory last month and was fired after an internal investigation https://t.co/tPllBboRqp
2020-10-06,"Tesla is in talks with mining giant BHP on a deal to secure nickel supplies, a key component in its batteries https://t.co/D3ATSJywgu"
2020-10-04,"A different kind of clean-energy vehicle is emerging, and it isn’t made by Tesla https://t.co/8eF8HzVZk0"
2020-10-03,Tesla secured its own lithium mining rights in Nevada after dropping a plan to buy a company there https://t.co/Jn6TpNWjpx
2020-10-03,"A different kind of clean-energy vehicle is emerging, and it isn’t made by Tesla https://t.co/KNhLMw4LdK"
2020-10-02,"LATEST: Tesla delivers a quarterly record number of cars worldwide, smashing Wall Street forecasts https://t.co/zLW56XH3Jg"
2020-10-02,"Tesla’s factory near Berlin faces no major hurdles before getting the final green light to start producing electric cars next year, Brandenburg Premier Dietmar Woidke says https://t.co/IxpdmoY8k5"
2020-10-01,"Tesla's addition to the S&amp;P 500 could take a while, says the former head of the committee that picks stocks for the index https://t.co/8kHmY1LN9C"
2020-10-01,They recently decided to exclude Tesla despite the company seeming to check all the required boxes https://t.co/AYzGKHz2ue
2020-10-01,Tesla is set to launch its first Model 3 sedan equipped with cheaper batteries in China as soon as Thursday https://t.co/jfYCG86l84
2020-09-30,"A different kind of clean-energy vehicle is emerging, and it isn’t made by Tesla https://t.co/Zt0IEeXPp8"
2020-09-30,"A different kind of clean-energy vehicle is emerging, and it isn’t made by Tesla https://t.co/4bwFlfgauJ"
2020-09-29,Tesla secured its own lithium mining rights in Nevada after dropping a plan to buy a company there https://t.co/hTXBYxFUBI
2020-09-29,Tesla secured its own lithium mining rights in Nevada after dropping a plan to buy a company there https://t.co/Iz4dd5z1Bj
2020-09-28,Tesla secured its own lithium mining rights in Nevada after dropping a plan to buy a company there https://t.co/utm0EdIvEY
2020-09-28,"Piedmont Lithium, which had been halted since Sept. 17, surged more than fourfold after resuming on Monday, following its deal to supply Tesla with raw material https://t.co/TaHLbjIaY9"
2020-09-28,"Tesla’s $25,000 car doesn’t worry its biggest rivals in China https://t.co/9LB37bzWyB"
2020-09-28,"Bring it on, Elon Musk. Tesla's plan to build a $25,000 car doesn’t seem to faze China’s most-promising electric vehicle startups https://t.co/9NBddjshBY"
2020-09-28,"Bring it on, Elon Musk. Tesla's plan to build a $25,000 car doesn’t seem to faze China’s most-promising electric vehicle startups https://t.co/kWOIlNW60n"
2020-09-28,"Tesla’s $25,000 car doesn’t worry its biggest rivals in China https://t.co/024wRKqrP8"
2020-09-28,"Tesla’s $25,000 car doesn’t worry its biggest rivals in China https://t.co/NJdyyWkuPv"
2020-09-27,"Tesla’s $25,000 car doesn’t worry its biggest rivals in China https://t.co/RUzTTCjVV9"
2020-09-25,"The key to Elon Musk’s $25,000 Tesla: cheaper batteries https://t.co/s4JN17gClg via @BW"
2020-09-25,"Denmark's plan to expand use of electric cars also includes a tax on more expensive models like the Tesla Model S, lifting its price by 31% https://t.co/uPFZoPZEqr"
2020-09-25,"The key to Elon Musk’s $25,000 Tesla: cheaper batteries https://t.co/1Qt5drfKW6 via @BW"
2020-09-23,"Nikola now down about 20%
Tesla still down 9%

https://t.co/8CWNUfkFjf https://t.co/iwqMSEy9KK"
2020-09-23,Tesla appeared to suffer a network outage that left car owners unable to connect to their vehicles via the mobile app https://t.co/4eWhd82jQ9
2020-09-23,Tesla sues to block the Trump administration from collecting new tariffs on goods the car maker imports from China https://t.co/AF3MvzwXgW
2020-09-23,Tesla’s push to build its first European car factory faces a key test when local residents voice concerns ranging from water usage to noise pollution https://t.co/gcQwww0Ch3
2020-09-23,"Tesla plans to manufacture a car that will cost $25,000 in about three years’ time, says Elon Musk https://t.co/UOqxOCVWgU"
2020-09-23,"Tesla plans to manufacture a car that will cost $25,000 in about three years’ time, says Elon Musk https://t.co/Lx6rMfjHlz"
2020-09-23,"-U.S. deaths from coronavirus surpass 200,000
-China's Xi stuns with climate pledge at the UN
-Elon Musk says Tesla plans new $25,000 electric vehicle in about three years

Here are some of the things people in markets are talking about today https://t.co/HQ3q7P2Ybu"
2020-09-22,Elon Musk reaffirms Tesla's forecast that the EV maker expects to see deliveries grow on the order of 30% to 40% this year https://t.co/NTnRSyd8en
2020-09-22,"BREAKING: Tesla plans to manufacture a car that will cost $25,000 in about three years’ time, says Elon Musk https://t.co/XnCMsTS9f4 https://t.co/NUBojCHsgi"
2020-09-22,Tesla could be setting up shop in Singapore. Elon Musk's electric-vehicle company posted job ads in the city including senior developers and sales advisers https://t.co/R9VTTXUvPZ
2020-09-22,Tesla CEO Elon Musk attempts to rally employees with prospects for a record-breaking quarter https://t.co/qBVU3d3Vsh
2020-09-21,"Tesla will need to start producing its own battery cells in order to meet demand for its electric vehicles, Elon Musk said in a tweet https://t.co/MZnIxSJeqj"
2020-09-21,Tesla's Elon Musk will provide a highly anticipated technology update on Tuesday. Here's what to expect https://t.co/jQO6q7etgJ
2020-09-21,Michigan auto dealers are trying to block startup electric carmakers including Rivian and Lucid from following in Tesla’s footsteps by selling vehicles directly to consumers https://t.co/waUSDtJ8LI
2020-09-21,Tesla CEO Elon Musk attempts to rally employees with prospects for a record-breaking quarter https://t.co/TRhaIOBpCe
2020-09-21,Tesla's Elon Musk will provide a highly anticipated technology update on Tuesday. Here's what to expect https://t.co/C8mbiRIt8d
2020-09-21,"The Tesla of electric bikes, the Dutch company VanMoof, has some of the same problems Elon Musk battles https://t.co/utrBn9CAyy @climate"
2020-09-21,Tesla CEO Elon Musk attempts to rally employees with prospects for a record-breaking quarter https://t.co/rLphZEGFK0
2020-09-21,"From Solar Roofs to Cybertrucks, take a look back at some of Elon Musk's biggest product events as Tesla gets ready for battery day https://t.co/PD2v78J7OV"
2020-09-20,Elon Musk’s showy events gin up hype that Tesla doesn’t always live up to https://t.co/sWFMuBLSxb
2020-09-20,Electrify America is taking a page out of Tesla's playbook https://t.co/hrYPgKtsEf
2020-09-20,"From Solar Roofs to Cybertrucks, take a look back at some of Elon Musk's biggest product events as Tesla gets ready for battery day https://t.co/fKB0xlJMZP"
2020-09-20,"The Tesla of electric bikes, the Dutch company VanMoof, has some of the same problems Elon Musk battles https://t.co/yRN0uzpLOn"
2020-09-20,Electrify America is taking a page out of Tesla's playbook https://t.co/ybbGYfbRN4
2020-09-20,"From Solar Roofs to Cybertrucks, take a look back at some of Elon Musk's biggest product events as Tesla gets ready for battery day https://t.co/FGus1SButs"
2020-09-20,Electrify America is taking a page out of Tesla's playbook https://t.co/FVWH6zG68M
2020-09-20,"The Tesla of electric bikes, the Dutch company VanMoof, has some of the same problems Elon Musk battles https://t.co/Mvm1qr9IfX"
2020-09-19,"The Tesla of electric bikes, the Dutch company VanMoof, has some of the same problems Elon Musk battles https://t.co/FeRGWUM6NW"
2020-09-19,"The Tesla of electric bikes, the Dutch company VanMoof, has some of the same problems Elon Musk battles https://t.co/luMrXwCWrS"
