original_text,summary
"Next question comes from Colin Langan with UBS.Colin LanganI guess first question is staying on the stationary storage topic. I mean, how do you view the -- youmentioned there's 2 different chemistries. How does that work with the Gigafactory? Does that require allseparate lines? Is there any more complexities or all within the same facility? And how do you view yourchemistries versus other competitive options out there? There are other people who are bullish on thingslike zinc and other more basic chemistry?Jeffrey B. StraubelWell, they could still be both be built in the Gigafactory. It doesn't -- we have multiple lines operating inthe Gigafactory, so if one line is building nickel cobalt aluminum chemistry and another is building nickelmanganese cobalt, that still works just fine. A lot of the cell assembly and then the processes that happenafter that are almost identical.Elon R. MuskYes, I mean, they look the same at the module and pack level. You can't really tell by just looking at them.Jeffrey B. StraubelYes.Elon R. MuskIt's just kind of the internal chemical constituents. I mean you can think of like the -- sort of breakdownthe problem like -- the cell is a chemical engineering problem. It's like a little can of chemicals. And thenthe module and pack problem is a mechanical engineering, electrical engineering and software engineeringproblem. And if you have just like a small number of cells, then as an overall engineering problem, it'slike mostly about the cell. But once you get -- have a lot of cells, then it's -- then the intellectual propertychallenge, the intellectual challenge becomes more at the mechanical, electrical and software level, whichis where Tesla does quite well. That's why you don't really see -- like nobody else has like -- has a packlike ours. There -- the cells are relatively generic, but the module and pack is not.Jeffrey B. StraubelYes. And we've looked at pretty much every chemistry couple that could possibly be relevant for this.We're confident what we're using is going to be the best. But if there's something better, we can alsoadjust and change over time. So there's a lot of flexibility.Elon R. MuskYes, I mean I'm not sure if like the exact -- the right analogy would be, but like if you had like a laptopand it's like you could say, ""Whoa, a laptop's really just like Intel CPU and some Micron DRAM chips."" Like,big deal.","Elon R. MuskYes, I mean, they look the same at the module and pack level. You can't really tell by just looking at them. We're confident what we're using is going to be the best. But if there's something better, we can alsoadjust and change over time."
"What's any computer company actually doing? They're doing a lot.Colin LanganSo what do you view your competitive edge? So it sounds like you think it's the software and electronicintegration, the competitive advantage? Because in your presentation, you actually mentioned youencourage other companies that build -- to enter the market as well. Elon R. MuskYes. And I think we are -- in terms of the electrical engineering, the mechanical, the software and theoverall aesthetics and just having something that really just works and is easy for consumers and utilitiesand large industrial applications to just order and it just works, and it's just there as a fully integratedsystem. That's what's the value that Tesla is adding.Jeffrey B. StraubelI think there's also a substantial benefit to the track record of the automotive fleet. That's something thata lot of the sort of newer start-up companies or different technologies in the space really struggled with,especially in the utility application, where you need to be sure that it's going to work for 15-plus years.And we have a sense of scale and have a great track record on the vehicle fleet that you can really pullfrom data -- and pull data from and understand how it's going to work.Elon R. MuskI shouldn't say like we're like wedded to a particular chemistry or anything like that. We just want to usethe best chemistry. Like whatever little can that contains a cathode, an anode, a separator and electrolyte,whatever that -- the best constituents of that can are -- that's what we will want to use. So we'd love itif somebody could come up with a better internal chemistry for the cell. But it's worth noting like nobodyhas sent us anything, a sample cell, that's better than the cell we're producing. So -- or that -- somethingthat we will produce in the Gigafactory. So we'd love it if somebody would do that. They just haven't.And so it's like all these things which are big on promise and short on delivery when it comes to batterychemistry. And it's just a real hard problem. And then hardly a week goes by that there's not some allegedbreakthrough in batteries. But what they'll do is they'll cite the power, but not the energy. Or they'll forgetto mention that it will only last 50 cycles or uses incredibly exotic raw materials...Jeffrey B. StraubelOr one component out of the battery pulled separately.Elon R. MuskYes, exactly.","Elon R. Musk: We just want to usethe best chemistry. Like whatever little can that contains a cathode, an anode, a separator and electrolyte,whatever that can are. So we'd love itif somebody could come up with a better internal chemistry for the cell."
"It's just not like a -- it's not the full picture. So it's not like we don't want a better chemistryto exist than what we're using. We'd love it if there was such a thing. And I'm sure there will beimprovements over time, and we'll implement them as soon as they are remotely production-ready.Colin LanganJust one last final of question. Any color on the -- on a financial question, other expenses is up quite a bit.It was $22.3 million, What was really just driving that in the quarter?Deepak AhujaYes, that was essentially revaluation of primarily our foreign currencies that we had at the end of thequarter. The dollar was particularly strong against foreign currencies there, and it's also, in most cases,unrealized losses. So as the currency moves in Q2 in different directions, that could have an impact aswell, a positive impact is what I mean.Colin Langan Okay. So we should kind of consider most of it as onetime in nature because of FX, balance sheet effect[ph]?Deepak AhujaYes, they're not related directly to operations. It's simply the revaluation of our currencies into company'sitems.","It's not like we don't want a better chemistryto exist than what we're using. We'd love it if there was such a thing. And I'm sure there will beimprovements over time, and we'll implement them as soon as they are remotely production-ready.Colin LanganJust one last final of question. Other expenses is up quite a bit. What was really just driving that in the quarter?Deepak AhujaYes, that was essentially revaluation of primarily our foreign currencies that we had at the end of thequarter."
"Next question comes from the line of Rod Lache with Deutsche Bank.Rod Avraham LacheA couple questions on stationary storage first. One is it seems like utilities move quite a bit slower thanother markets. So I was wondering when you are thinking about the expectations for the trajectory ofgrowth, if you had the capacity today, how long would do you think it would take for you to get to that15 gigawatt hours? Also related to this business, it seems like you're using third parties for most of thedistribution, installation. So if you achieved maybe a 20% gross margin, can you pass along any thoughtson how we should we be thinking in terms of SG&A is allocated?Elon R. MuskI think it's pretty early days to -- I mean, we're being super-speculative at this point. So it's...Jeffrey B. StraubelYes. Maybe one point on the distributors. We're only focusing on that approach for power wall in most case-- in most cases. So with utilities, we're building those relationships directly. That's not something thatis really effective to go through a distribution channel, and it's something we have also been doing for anumber of years. It didn't just start last Thursday. And we've built these relationships partially throughvehicle infrastructure and charging questions and back and forth, supercharging as well. So there'sactually quite a lot of trust built between Tesla and many of the utility companies, which is very helpful togrow that business faster.Rod Avraham LacheAnd just a clarification on the comment about the fact that a DC/AC inverter is already there for solar.Does the fact that it needs be bidirectional change the nature of the cost? Or not really?Jeffrey B. StraubelNo, not in most cases because if you have already solar, typically, the energy to charge the battery cancome from the solar panel. So I think maybe one way to think of it is, if the battery pack, the power wall,with its internal DC to DC converter, can act much like a solar panel. It can match voltage with the solarpanel array and it can feed power back into that. So the existing inverter doesn't particularly see a bigchange.Rod Avraham LacheOkay, got it. On the auto business, do you have any preliminary expectations on the mix of the 70Dversus 85? Any thoughts on how that affects margins? And lastly, a question for Deepak.","If you had the capacity today, how long would do you think it would take for you to get to that15 gigawatt hours? Also related to this business, it seems like you're using third parties for most of thedistribution, installation. So if you achieved maybe a 20% gross margin, can you pass along any thoughts on how we should be thinking in terms of SG&A is allocated?"
"In the past,we were able to look at your supplemental information on leasing where you disclose the value of theleases delivered and the value that you're booking this at on the balance sheet, which is presumably your cost. And it sort of approximated your gross margins, but this quarter, when you do the math, the impliedmargins were something like 44%, not like 29%, 30%. Is there something unusual there?Deepak AhujaI'll answer the second one. No, there's nothing unusual in those numbers as the overall. What you'reseeing in the supplemental information is the new cars we've delivered. What's coming through ultimatelyis the cumulative impact of all the leasing that we have done. But to my knowledge, there's nothing elseunusual.Rod Avraham LacheOkay. It seems like a pretty high margin, though, when you look at it that way. Anything on the mix, 70Dversus 85?Elon R. MuskI mean, it's still pretty early to be predicting mix because you have to distinguish between what's sort ofinitial demand versus sustained demand. So I mean, it looks like there may be -- going to be comparablenumber of 70s versus 85s. But it's -- this is difficult to -- this is extrapolating on very little information.And yes, I think a key point I should make before this call ends is we're really optimizing, at this pointgoing forward, we're going to be optimizing for the operational efficiency of the company as opposed tospecific quarters. This is -- I feel like what we've done in the past, where we've really had to scramble atthe end of quarters and sometimes have not a great customer experience at the end of quarters. It's notreally the right thing for the company. And so we're going to be operating more for sort of steady-stateefficiency. And that means the quarterly fluctuations could be a little higher, but in the long term, it will bebetter. So that's an important consideration. Also sort of unlike other car companies, Tesla sales are onlyrecognized when they arrive at the end customer and we've received payment and all the regulatory docshave been processed and all that. So our sales are always kind of true -- they're always true sales. They'renot sales to the channel. Whereas the other car companies are -- they're sales to the channel. So it'spossible to sort of -- for them to make numbers work, where they're selling to their channel as opposed toend customers.","In the past,we were able to look at your supplemental information on leasing where you disclose the value of theleases delivered and the value that you're booking this at on the balance sheet. And it sort of approximated your gross margins, but this quarter, when you do the math, the impliedmargins were something like 44%, not like 29%, 30%. Is there something unusual there?Deepak AhujaI'll answer the second one. No, there's nothing unusual in those numbers as the overall. What you'reseeing in the supplemental information is the new cars we've delivered."
"In our case, it's always end customers. And -- as we're shipping to Asia and Europe andacross the U.S., it's fairly easy for there to be a plus/minus 5% difference in deliveries just due to logisticsissues. So it's not a huge variation, plus/minus 5%, but that's kind of like the -- if a ship is late or early,it can affect the -- there could be 500 cars that are affected, and then that's 5%, so -- which we've seenin the past. So that's an important thing to bear in mind. The number that's much more controllable forus is the production number. So that's -- our production predictions, I think, are, for the vehicles, are -- atleast for the Model S, not so much for a new vehicle but for an existing vehicle, our production predictionsare a lot more controllable. And then, as I think people have similar drives [ph], demand is different fromproduction. Like there's -- our cars are almost all ordered in advance. So we really don't see any demandissue, but you can sort of see that by the delivery times of the cars on our website. So it's like sometimespeople will interpret a quarterly delivery number as somehow being related to demand. This is not thecase. This is usually related to like just that's how many -- we produced a certain number, and then wewere able to deliver a certain number in the quarter, and so -- and there's so much cars on ships or ontrains or on trucks. And so that's -- because Tesla is different from other car companies, applying theother car companies' template can lead to incorrect conclusions about Tesla. Is this making sense, I mean,or [indiscernible]?Rod Avraham LacheYes, it makes sense.Elon R. Musk Okay.Deepak AhujaYes, and to add to what Elon said, to be more efficient operationally, we are shipping more by trainrather than trucks. It's more cost efficient and creates less damage to the car, gives a better customerexperience. So we are taking all these actions.Rod Avraham LacheI guess my question is more geared to trying to assess the effect on ASPs and margins as you're changingthe mix a little bit. But I appreciate that.Elon R. MuskYes, I -- to sort of answer your question on margins, I think there's 2 things that are happening.","Elon R. MuskYes, I -- to sort of answer your question on margins, I think there's 2 things that are happening. The number that's much more controllable forus is the production number. And then, as I think people have similar drives [ph], demand is different fromproduction.Deepak AhujaYes, and to add to what Elon said, we are shipping more by trainrather than trucks."
"Theaverage sales price is going to decline a little bit, but the -- but our costs are improving as well. So -- andwe see that more or less netting out, so that efficiency improvements offset approximately any averageselling price change.Deepak AhujaAnd if in the process we are growing the market, which we truly are by hitting the right sweet spot,then we are doing the right thing with the 70D. And the 70D has a higher gross margin than the 60,for example. And 60 was just not hitting the market. It just didn't have the right attributes that ourcustomers like. It was a low take rate. And we've got a product which is far more compelling and muchmore competitive with other cars.","Theaverage sales price is going to decline a little bit, but the -- but our costs are improving as well. So -- andwe see that more or less netting out, so that efficiency improvements offset approximately any averageselling price change. And we've got a product which is far more compelling and muchmore competitive with other cars."
"Our next phone question will come from the line of Colin Rusch with Northland Capital Markets.Colin William RuschAs you look at the growth of the organization, the integrity of the culture and the workforce, I know thatyour employees are extremely motivated. But could you talk about, as you grow, how that's growing andchanging and what you're doing to maintain that integrity as we go forward?Elon R. MuskI mean, it is tricky, as companies grow, to maintain a consistent culture. I think we're doing okay. I thinkas measured, yes, relative to most companies. But we do need to get people to think differently and havean expectation of innovation. And I mean, I think we're doing okay on that front.Jeffrey B. StraubelYes, I think having a general mix of people that have been here for a very long time and have seenmultiple programs and seen the company when it was even much smaller than today and more scrappyand had to go through even tighter financial difficult launches, things like that, really helps maintain thatculture. And we try and pair different managers up with new groups so that, that culture sort of infusesthroughout.Elon R. Musk Yes. And our growth rate, like this year, personnel-wise is sort of, I won't say leveled off, because it's stillfairly significant, but it's like our net personnel growth this year will probably be 20% to 30%, which is Ithink a manageable number for kind of integrating with people that already have kind of the Tesla culture.And I think it's also -- it's a pretty big improvement in productivity. Because we're looking at, let's call it,like if it's up at the upper end of that 30% personnel increase, but 100% increase in vehicle volume. So Ithink that's a pretty good indicator of productivity improvements, just like how many people do we haveand how many cars are we making.Colin William RuschGood. And the second question is really around some of the choices that you made with the batteryproduct and why choosing 10 kW and the size. 220 pound is actually pretty hefty for a garage wall. Andthen also the battery management system.","Elon R. Musk: It is tricky, as companies grow, to maintain a consistent culture. I think we're doing okay. But we do need to get people to think differently and havean expectation of innovation. And I mean, I thinkWe're doing alright on that front."
"I think there's a lot of confusion around where it's locatedand what the real functionality is, as you look at it interfacing with utilities and the signals that you getfrom the market, in terms of looking at demand trying to offset demand response and some of the otheradvanced functionalities that are going to be able to be monetized in business models with the product.Can you just clarify where that BMS system is, where it resides and who owns that technology, and whyyou guys made those choices along with the weight and size choices?Jeffrey B. StraubelSome of the different revenue streams you're talking about are kind of mixed between power pack andpower wall. The BMS system lives inside the battery pack in both cases. But with the power pack, inthe more utility-sized installations, there, we often will have sort of a site master computer or mastercontroller that controls multiple power packs. And that site controller is what then interfaces to theutility or maybe a commercial customer to sort of run the scheduled charge and discharge that wouldbe appropriate for a given application. On the power wall, it's a bit of a different situation. Still, the BMSlives inside the battery pack. But in some cases, the inverter may be the system that's deciding how tomanage energy in the overall house, and that can depend on which type of inverter we're using and howthat works. And in terms of the size, we really -- for power wall again, we optimized the size around whatwas the most common photovoltaic size and also what we felt was kind of the smallest modular incrementfor backup. And it's pretty key to note here that you can install multiple power walls together. So having10 kilowatt hours doesn't mean that you can't very easily put in 20 or 30 or 40. And in many cases, Ithink people will, to have the backup kind of matching that they want to see. But we felt 10 kilowatt hourswas the lowest kind of common element. And if you go smaller than that, you start to run into worseeconomies of scale and more the system that's not related to storage.Jeff EvansonHuey, before we go to the next question, I just wanted to give everybody a status update. A lot ofimportant things to talk about on this call, but we-are 50 minutes into the call and we still have 7 callers inqueue.","There's a lot of confusion around where that BMS system is, where it resides and who owns that technology. We optimized the size around whatwas the most common photovoltaic size and also what we felt was kind of the smallest modular incrementfor backup. So having10 kilowatt hours doesn't mean that you can't very easily put in 20 or 30 or 40."
So just let you guys think about how we manage time here.,"""We're going to have to think about how we manage time here,"" he says. ""We're not going to be able to do it all at once. So just let us think about it."" ""It's going to take a little bit of time,"" he adds. ""But we'll get through it."""
